Iterations,Epoches,Train Fusion Loss,Train Target Loss,Test 1 Fusion Loss,Test 1 Target Loss,Test 2 Fusion Loss,Test 2 Target Loss
7500,24,2.056425333,0.098013282,1.586040139,0.08154323,1.522486448,0.058051553
7800,25,2.02289319,0.094141178,1.57959044,0.082750209,1.518644094,0.059129406
8100,26,2.013274908,0.093134418,1.583765507,0.083490632,1.526404262,0.061055075
8400,27,2.008077145,0.092412435,1.574063659,0.08118327,1.51460886,0.060311873
8700,28,2.001507044,0.091425359,1.589883089,0.083724603,1.538303137,0.064811841
9000,29,1.990919113,0.090684742,1.576232672,0.082488358,1.530192256,0.064244807
9300,30,1.985180736,0.090117335,1.561469913,0.080313861,1.523185968,0.063450843
9600,31,1.970313668,0.08796557,1.552937269,0.078976139,1.516769528,0.062354553
9900,32,1.960464954,0.087305062,1.544299841,0.078216344,1.509743333,0.061883364
10200,33,1.952276349,0.086439982,1.543046713,0.078145489,1.507998347,0.061913773
10500,34,1.956379414,0.087091655,1.5616256,0.079868421,1.510253072,0.062521406
10800,35,1.950601697,0.086668842,1.565011263,0.080399998,1.507176995,0.062184557
11100,36,1.944868803,0.086212046,1.559922099,0.079822406,1.50884366,0.062904447
11400,37,1.936068058,0.085221194,1.56029284,0.080291748,1.507467628,0.063227035
